username,text,likes,pred_label,prob_confuso,prob_não,prob_sim
klarissamr,"Isabela é um pouco filha de todos que te acompanham, dói demais 😢😢😢❤️",1591.0,não,0.01548941433429718,0.9559041857719421,0.028606392443180084
kahcampox,@klarissamr sim 🥺,,não,0.3145708441734314,0.4898291230201721,0.1955999881029129
mariaceleatino,"@klarissamr falou tudo,eu sinto demais, me pergunto toda hora como um pai foi capaz de fazer, e permitir que fizesse com a filha uma barbaridade dessa",,não,0.018596164882183075,0.9426628947257996,0.03874097764492035
mariaceleatino,@klarissamr como foi capaz??,7.0,confuso,0.7620271444320679,0.04079029709100723,0.1971825808286667
cristinamatosf,@klarissamr verdade 😢,,não,0.06323143094778061,0.8705622553825378,0.06620632112026215
ruthmcq90,@klarissamr dói mt😢,12.0,não,0.13950097560882568,0.7228348255157471,0.13766419887542725
zelete8346,@klarissamr com certeza como esquecer aquele dia 😢,,não,0.020948244258761406,0.9554211497306824,0.023630600422620773
girlaneagsouza,"@klarissamr vdd, dói, e como dói 😢",,não,0.22694207727909088,0.6593359112739563,0.11372201144695282
simonertoledo,@klarissamr fato🥺🩷,4.0,não,0.09365563839673996,0.8092173337936401,0.0971270501613617
mariajosepaiva12,"@klarissamr com certeza,a dor dessa mãe tbm é nossa😢",,não,0.02107914164662361,0.953786313533783,0.02513454668223858
enisilvalopes,@klarissamr nossa muito sofrimento 😢😢😢😢,4.0,não,0.02974224090576172,0.9390662908554077,0.031191490590572357
tatysdantas,@klarissamr falou tudo! Não tem como não se colocar no lugar e sentir como deve doer…,,não,0.056069470942020416,0.8879725933074951,0.055957868695259094
eliztrajanodealmeida,@klarissamr verdade,3.0,não,0.139353945851326,0.7250674366950989,0.13557864725589752
edneiasb,@klarissamr verdade😢,,não,0.09365563839673996,0.8092173337936401,0.0971270501613617
paty_santos_2006,"@klarissamr,verdade 💔 sofremos juntas",,não,0.02352047711610794,0.9353636503219604,0.04111585021018982
katia.barbosa26,@klarissamr dói mesmo 😢 nunca superei a perca dessa menina linda 🥺 mas os culpados vão pagar quando a mão de Deus pesar essa justiça nunca falha,4.0,não,0.019376186653971672,0.9492133259773254,0.03141053766012192
andsantosr,"É impressionante como todas sentimos saudades da Isabella sem nunca ter visto pessoalmente, mas o afeto que sentimos é enorme pela isa e pela Ana ❤️😢",,não,0.01911606639623642,0.9513513445854187,0.02953261323273182
luastro,@andsantosr muito verdade 👏🙌🙌,,não,0.08441456407308578,0.8635625839233398,0.05202284827828407
jehhdannaalvess,@andsantosr vdd😢😢😢,3.0,não,0.09664089977741241,0.8061273694038391,0.09723172336816788
vittoryaroberta,@andsantosr eu choro por ela de soluçar chega a ser estranho sabe mas acredito que é porque o rostinho dela lembra muito o do meu sobrinho de 7 anos e por coincidência ele se chama myguel como o irmãozinho da isa😢😢😢 te amo isa mesmo sem nunca ter convivido com você ❤️,,não,0.01890416629612446,0.9478000998497009,0.033295828849077225
andsantosr,@vittoryaroberta impressionante né ❤️🥺,,confuso,0.7120436429977417,0.1708608865737915,0.11709550768136978
vittoryaroberta,@andsantosr demais menina se a gente sofre imagina a própria eu realmente não teria as forças que ela tem 😭💔,3.0,não,0.03456629440188408,0.9101151823997498,0.055318623781204224
vittoryaroberta,@vittoryaroberta mae**,,não,0.10082010924816132,0.7883128523826599,0.11086700856685638
rosanaoliveira2348,@andsantosr verdade. O sofri então dessa mãe EA família toda mesmo tendo um casal de filhos que ela ama muito ela nunca jamais esquecerá sua filha mais velha estaria linda hoje mas foi interrompida pelo que mas tinha que protegerá. Como esse homem vive tranquilo. Se pode ser chamado de homem ne,2.0,não,0.01635074056684971,0.9318245649337769,0.051824748516082764
dianalima73,@andsantosr vdd❤️,,não,0.09664089977741241,0.8061273694038391,0.09723172336816788
hortovillagalicia,@andsantosr verdade,,não,0.15313877165317535,0.7091330289840698,0.1377282291650772
idacalves,"@andsantosr pelo Henry, Bernardo e muitos mais ....😭",1.0,não,0.03735020011663437,0.920526921749115,0.042122870683670044
andsantosr,@idacalves sim 😢💔,,não,0.3758015036582947,0.4080200791358948,0.21617841720581055
andsantosr,"@rosanaoliveira2348 uma crueldade sem tamanho , imagina a dor dessa mãe 😢",,não,0.026744790375232697,0.9401152729988098,0.03313988819718361
momiji_eliane,@andsantosr vdd 😢,1.0,não,0.16320106387138367,0.7644580602645874,0.07234082370996475
clementezilda,@andsantosr verdade 😢💔,,não,0.08213513344526291,0.8276681900024414,0.09019672125577927
anajungs,@andsantosr SIM,,não,0.12956370413303375,0.6330888867378235,0.23734742403030396
keiliane.ag.93,"Doeu muito, e deu um medo , como se conhecesse. Uma das histórias mais tristes 😭",1.0,não,0.020789485424757004,0.9495003819465637,0.0297101903706789
estefane_lendario,Vc pode me dizer o que aconteceu por favor? Vim ver essa história hoje mas não sei o caso ainda,,confuso,0.9147453308105469,0.05841745436191559,0.026837237179279327
keiliane.ag.93,"Pesquisa no Google caso Isabela Nardoni ,ela foi jogada da janela no apartamento ,um dos assassinatos mais chocante do Brasil!",1.0,não,0.11250518262386322,0.5203557014465332,0.3671391010284424
thaissilolive,"A sensação de quem te acompanha é a mesma!! Saudades da Isabella (olha que eu nunca há vi pessoalmente), mas ela tinha muita vontade de viver ❤️",,não,0.01713484525680542,0.9587279558181763,0.024137161672115326
la_vem_maria,"Qdo uma mãe chora todas as mães choram tb… um abraço que todas as mães compartilham da sua saudade😢❤️ que o nosso Criador continue lhe dando forças, minha amiga ❤️",1.0,não,0.02133948914706707,0.9550794363021851,0.023581059649586678
simoneferreira8413,"@la_vem_maria ,verdade! É uma sensação de perda mútua. 🥺",,não,0.02068047970533371,0.9422032833099365,0.03711624816060066
la_vem_maria,@simoneferreira8413 💔nem fala … 😢 uma mãe nunca deveria perder seus filhos não é mesmo? ❤️😢,,não,0.11842003464698792,0.7986639738082886,0.08291598409414291
anacarolina_oliveiraa1,"Saudades eterna , pequena estrelinhaa ★❤️",1.0,não,0.023660989478230476,0.952114999294281,0.0242240522056818
marianeuza1982,@anacarolina_oliveiraa1 verdade minha linda 💔,,não,0.032960645854473114,0.9372155666351318,0.029823850840330124
lais_liiz,@anacarolina_oliveiraa1 ❤️❤️❤️❤️,,não,0.0564703531563282,0.8710962533950806,0.07243340462446213
ligia.neta,"@anacarolina_oliveiraa1 Jesus muito em breve ressuscitará ela, eu tenho fé nisso. A justiça de Deus não falha",829.0,não,0.03214167803525925,0.8946573734283447,0.07320099323987961
maddameira,@anacarolina_oliveiraa1 Ainda dói na alma. Deus multiplique a força q há em ti. 💔🙏🙏,,não,0.021183377131819725,0.9457564353942871,0.03306015580892563
alinececilia44,A gente tbm sente mesmo nunca tendo abraçado❤️‍🩹,,não,0.03797852620482445,0.926682710647583,0.03533871844410896
rayany.conrado,"Que vídeo lindo, meu Deus. Parece tão real ❤️",1.0,não,0.02686459943652153,0.9481796622276306,0.024955686181783676
lucileiagaspar,Não é real será?,,confuso,0.9317973256111145,0.014001326635479927,0.054201390594244
rayany.conrado,"@lucileiagaspar adhi que não, deve ser inteligência artificial.. mas é a mais perfeita que eu já vi ( eu acho )",,sim,0.31732377409935,0.04642978310585022,0.636246383190155
joelma_domingossantos,@lucileiagaspar IA,2.0,não,0.09633304923772812,0.6771267652511597,0.2265402376651764
marinaramosz,"@lucileiagaspar não é real, a IA fez esse vídeo baseado em uma foto delas. A Carol tem pouquíssimos vídeos dessa época dela, acho que nenhum tem as duas juntas",,sim,0.2094099521636963,0.03656116873025894,0.754028856754303
marciodalanoficial,"Oh minha amiga, que Deus te abençoe sempre. Ficou lindo a Isabella viverá para sempre em nossos corações",2.0,não,0.0215968769043684,0.9545279145240784,0.023875204846262932
sandramaracolin7,😢,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
givergete,"Vejo sua filha, sinto um aperto. Inimaginável ficar sem a tinha q tbm tem 5 anos.",,não,0.017474113032221794,0.9563001990318298,0.026225659996271133
givergete,@givergete *minha,1.0,não,0.08374364674091339,0.8162605166435242,0.09999587386846542
_gabibpc,"@givergete Eu tbm me sinto assim, Isabella é um ferida no peito que todas nós mães temos mesmo sem nunca ter perdido um filho. Eu nunca vou conseguir entender pq isso aconteceu com ela.",,não,0.03057939000427723,0.9172249436378479,0.0521957166492939
givergete,@_gabibpc me perguntei isso nesse momento. Pq????????,1.0,confuso,0.9463127255439758,0.018901443108916283,0.03478590026497841
nel_fe,"@_gabibpc , a gente fica se perguntando isso mesmo. Uma criança inocente, de apenas cinco anos, por que fizeram isso com ela? Não dá pra entender. 😢",,confuso,0.8742762207984924,0.03623951971530914,0.08948423713445663
souzaezehane,"@givergete Aconteceu a mesma coisa comigo. Na é poca minha filha Isabelly tinha 5 anos. Eu fiquei em choque, bateu uma angústia e uma dorno peito. Foi muito triste ver essa mãe passar por aquilo. E até hoje lembro com o coração na mão. Na época eu também era separada e minha filha ficava vom o pai nos finais de semana. Eu comecei a ir na casa dele no sábado e domingo. Falava que só estava perto resolvi vê -la. Mexeu muito com meu psicológico.",,não,0.01775587908923626,0.9467319250106812,0.03551219031214714
claudinhadagi,@givergete Ela tem uma força absurda né? Graças a Deus. Pq realmente é difícil de imaginar uma perda dessa😢,1.0,não,0.15542156994342804,0.6926630139350891,0.15191547572612762
dryfonseca3,@_gabibpc eu entendo como um propósito na vida da Ana Carolina 😢😢😢 Deus tem um propósito....,,não,0.07437431067228317,0.8477143049240112,0.07791126519441605
annymandarino,Isa 🌟você era única um ser de luz especial saudades eternas 😢Força mamãe tu é um ser de garra e coragem .Que sua luz continue iluminando nossas vidas .❤️🙏,1.0,não,0.01940181665122509,0.9562230110168457,0.024375151842832565
maryfigueirandes,Ah que saudade do abraço do meu filho senhor. 8 meses sem ele. Perder um filho é uma dor q não tem nome . Dói como se tivesse rasgando o peito😭😭😭😭,,não,0.01686796359717846,0.9606481194496155,0.022483959794044495
sandrabrito798,"@maryfigueirandes oh querida que o todo Deus acalente e te abrace tirando toda dor ,que fique somente o amor em seu ser ,mas não a dor viu ,Deus t abençoe abundantemente 🙌,fica bem na graça e paz d Cristo Jesus e todos aqueles que perderam um pedaço d si",,não,0.02295713499188423,0.94118732213974,0.03585558012127876
nadianidiasfotografia_,"Acho o sorriso da Maria Alice da Virgínia um pouco parecido com o dela, sempre lembro dela quando vejo a Maria rindo",,não,0.021927155554294586,0.9126722812652588,0.065400630235672
sarasalles_sales__,"@nadianidiasfotografia_ vdd viu,lembra msm!",,confuso,0.5628454685211182,0.32913726568222046,0.1080172136425972
elenaconfeiteira,"😢parece que essa dor é nossa, mas é aquilo quando uma mãe perde um filho todas nós perdemos, e da forma que foi, fica mais dolorido ainda",1.0,não,0.020237641409039497,0.9412769079208374,0.038485411554574966
rosanaoliveira2348,@elenaconfeit concordo,,não,0.09206131845712662,0.8023660778999329,0.10557268559932709
marciamonik,"@anacarolinaoliveira_oficial quando Isa morreu dia 29 de março de 2008 eu estava grávida de 09 meses , meu filho nasceu 10 de abril, e eu nunca esqueço essa data , qnd eu via vc, eu te abraçava mentalmente ❤️",,não,0.01621410809457302,0.9396225214004517,0.044163260608911514
vanessa_souza_30,"@marciamonik eu tbm estava grávida,de 4 meses e senti como se fosse uma pessoa da minha família, e dói até hj...😢",1.0,não,0.026712002232670784,0.9415780305862427,0.03170991688966751
silva_.anelise,@marciamonik dói tanto na gente né. 😭,,não,0.04741254076361656,0.9038674235343933,0.04872006177902222
