username,text,likes
klarissamr,"Isabela é um pouco filha de todos que te acompanham, dói demais 😢😢😢❤️",1591
kahcampox,@klarissamr sim 🥺,
mariaceleatino,"@klarissamr falou tudo,eu sinto demais, me pergunto toda hora como um pai foi capaz de fazer, e permitir que fizesse com a filha uma barbaridade dessa",
mariaceleatino,@klarissamr como foi capaz??,7
cristinamatosf,@klarissamr verdade 😢,
ruthmcq90,@klarissamr dói mt😢,12
zelete8346,@klarissamr com certeza como esquecer aquele dia 😢,
girlaneagsouza,"@klarissamr vdd, dói, e como dói 😢",
simonertoledo,@klarissamr fato🥺🩷,4
mariajosepaiva12,"@klarissamr com certeza,a dor dessa mãe tbm é nossa😢",
enisilvalopes,@klarissamr nossa muito sofrimento 😢😢😢😢,4
tatysdantas,@klarissamr falou tudo! Não tem como não se colocar no lugar e sentir como deve doer…,
eliztrajanodealmeida,@klarissamr verdade,3
edneiasb,@klarissamr verdade😢,
paty_santos_2006,"@klarissamr,verdade 💔 sofremos juntas",
katia.barbosa26,@klarissamr dói mesmo 😢 nunca superei a perca dessa menina linda 🥺 mas os culpados vão pagar quando a mão de Deus pesar essa justiça nunca falha,4
andsantosr,"É impressionante como todas sentimos saudades da Isabella sem nunca ter visto pessoalmente, mas o afeto que sentimos é enorme pela isa e pela Ana ❤️😢",
luastro,@andsantosr muito verdade 👏🙌🙌,
jehhdannaalvess,@andsantosr vdd😢😢😢,3
vittoryaroberta,@andsantosr eu choro por ela de soluçar chega a ser estranho sabe mas acredito que é porque o rostinho dela lembra muito o do meu sobrinho de 7 anos e por coincidência ele se chama myguel como o irmãozinho da isa😢😢😢 te amo isa mesmo sem nunca ter convivido com você ❤️,
andsantosr,@vittoryaroberta impressionante né ❤️🥺,
vittoryaroberta,@andsantosr demais menina se a gente sofre imagina a própria eu realmente não teria as forças que ela tem 😭💔,3
vittoryaroberta,@vittoryaroberta mae**,
rosanaoliveira2348,@andsantosr verdade. O sofri então dessa mãe EA família toda mesmo tendo um casal de filhos que ela ama muito ela nunca jamais esquecerá sua filha mais velha estaria linda hoje mas foi interrompida pelo que mas tinha que protegerá. Como esse homem vive tranquilo. Se pode ser chamado de homem ne,2
dianalima73,@andsantosr vdd❤️,
hortovillagalicia,@andsantosr verdade,
idacalves,"@andsantosr pelo Henry, Bernardo e muitos mais ....😭",1
andsantosr,@idacalves sim 😢💔,
andsantosr,"@rosanaoliveira2348 uma crueldade sem tamanho , imagina a dor dessa mãe 😢",
momiji_eliane,@andsantosr vdd 😢,1
clementezilda,@andsantosr verdade 😢💔,
anajungs,@andsantosr SIM,
keiliane.ag.93,"Doeu muito, e deu um medo , como se conhecesse. Uma das histórias mais tristes 😭",1
estefane_lendario,Vc pode me dizer o que aconteceu por favor? Vim ver essa história hoje mas não sei o caso ainda,
keiliane.ag.93,"Pesquisa no Google caso Isabela Nardoni ,ela foi jogada da janela no apartamento ,um dos assassinatos mais chocante do Brasil!",1
thaissilolive,"A sensação de quem te acompanha é a mesma!! Saudades da Isabella (olha que eu nunca há vi pessoalmente), mas ela tinha muita vontade de viver ❤️",
la_vem_maria,"Qdo uma mãe chora todas as mães choram tb… um abraço que todas as mães compartilham da sua saudade😢❤️ que o nosso Criador continue lhe dando forças, minha amiga ❤️",1
simoneferreira8413,"@la_vem_maria ,verdade! É uma sensação de perda mútua. 🥺",
la_vem_maria,@simoneferreira8413 💔nem fala … 😢 uma mãe nunca deveria perder seus filhos não é mesmo? ❤️😢,
anacarolina_oliveiraa1,"Saudades eterna , pequena estrelinhaa ★❤️",1
marianeuza1982,@anacarolina_oliveiraa1 verdade minha linda 💔,
lais_liiz,@anacarolina_oliveiraa1 ❤️❤️❤️❤️,
ligia.neta,"@anacarolina_oliveiraa1 Jesus muito em breve ressuscitará ela, eu tenho fé nisso. A justiça de Deus não falha",829
maddameira,@anacarolina_oliveiraa1 Ainda dói na alma. Deus multiplique a força q há em ti. 💔🙏🙏,
alinececilia44,A gente tbm sente mesmo nunca tendo abraçado❤️‍🩹,
rayany.conrado,"Que vídeo lindo, meu Deus. Parece tão real ❤️",1
lucileiagaspar,Não é real será?,
rayany.conrado,"@lucileiagaspar adhi que não, deve ser inteligência artificial.. mas é a mais perfeita que eu já vi ( eu acho )",
joelma_domingossantos,@lucileiagaspar IA,2
marinaramosz,"@lucileiagaspar não é real, a IA fez esse vídeo baseado em uma foto delas. A Carol tem pouquíssimos vídeos dessa época dela, acho que nenhum tem as duas juntas",
marciodalanoficial,"Oh minha amiga, que Deus te abençoe sempre. Ficou lindo a Isabella viverá para sempre em nossos corações",2
sandramaracolin7,😢,
